Cancer	Stage	c	n	original_sens	sens
Anus	I	1	4	0.25	0.25
Anus	II	3	4	0.75	0.75
Anus	III	13	13	1	1
Anus	IV	1	1	1	1
Bladder	I	2	6	0.3333333333333333	0.17647058823529413
Bladder	II	1	11	0.09090909090909091	0.17647058823529413
Bladder	III	3	4	0.75	0.75
Bladder	IV	2	2	1	1
Breast	I	7	265	0.026415094339622643	0.026415094339622643
Breast	II	86	181	0.47513812154696133	0.47513812154696133
Breast	III	47	55	0.8545454545454545	0.8545454545454545
Breast	IV	20	22	0.9090909090909091	0.9090909090909091
Cervix	I	7	12	0.5833333333333334	0.5833333333333334
Cervix	II	5	5	1	1
Cervix	III	7	7	1	1
Cervix	IV	1	1	1	1
Colon/Rectum	I	13	30	0.43333333333333335	0.43333333333333335
Colon/Rectum	II	34	40	0.85	0.85
Colon/Rectum	III	58	66	0.8787878787878788	0.8787878787878788
Colon/Rectum	IV	61	64	0.953125	0.953125
Esophagus	I	1	8	0.125	0.125
Esophagus	II	11	17	0.6470588235294118	0.6470588235294118
Esophagus	III	32	34	0.9411764705882353	0.9411764705882353
Esophagus	IV	40	40	1	1
Gallbladder	I	0	2	0	0
Gallbladder	II	1	3	0.3333333333333333	0.3333333333333333
Gallbladder	III	3	4	0.75	0.75
Gallbladder	IV	8	8	1	1
Head and Neck	I	12	19	0.631578947368421	0.631578947368421
Head and Neck	II	14	17	0.8235294117647058	0.8235294117647058
Head and Neck	III	16	19	0.8421052631578947	0.8421052631578947
Head and Neck	IV	48	50	0.96	0.96
Kidney	I	3	61	0.04918032786885246	0.04918032786885246
Kidney	II	2	9	0.2222222222222222	0.1875
Kidney	III	1	7	0.14285714285714285	0.1875
Kidney	IV	12	22	0.5454545454545454	0.5454545454545454
Liver/Bile-duct	I	6	6	1	0.8125
Liver/Bile-duct	II	7	10	0.7	0.8125
Liver/Bile-duct	III	9	9	1	1
Liver/Bile-duct	IV	20	20	1	1
Lung	I	21	96	0.21875	0.21875
Lung	II	35	44	0.7954545454545454	0.7954545454545454
Lung	III	107	118	0.9067796610169492	0.9067796610169492
Lung	IV	138	145	0.9517241379310345	0.9517241379310345
Lymphoma	I	9	33	0.2727272727272727	0.2727272727272727
Lymphoma	II	28	48	0.5833333333333334	0.5833333333333334
Lymphoma	III	33	46	0.717391304347826	0.6630434782608695
Lymphoma	IV	28	46	0.6086956521739131	0.6630434782608695
Melanoma	I	0	2	0	0
Melanoma	II	0	2	0	0
Melanoma	III	0	3	0	0
Melanoma	IV	6	6	1	1
[OTHER]	I	2	11	0.18181818181818182	0.18181818181818182
[OTHER]	II	3	3	1	0.6923076923076923
[OTHER]	III	13	18	0.7222222222222222	0.6923076923076923
[OTHER]	IV	11	18	0.6111111111111112	0.6923076923076923
Ovary	I	5	10	0.5	0.5
Ovary	II	4	5	0.8	0.8
Ovary	III	27	31	0.8709677419354839	0.8709677419354839
Ovary	IV	18	19	0.9473684210526315	0.9473684210526315
Pancreas	I	13	21	0.6190476190476191	0.6097560975609756
Pancreas	II	12	20	0.6	0.6097560975609756
Pancreas	III	18	21	0.8571428571428571	0.8571428571428571
Pancreas	IV	70	73	0.958904109589041	0.958904109589041
Prostate	I	3	95	0.031578947368421054	0.031578947368421054
Prostate	II	12	243	0.04938271604938271	0.04938271604938271
Prostate	III	7	50	0.14	0.14
Prostate	IV	25	30	0.8333333333333334	0.8333333333333334
Sarcoma	I	4	10	0.4	0.4
Sarcoma	II	2	2	1	0.5833333333333334
Sarcoma	III	5	10	0.5	0.5833333333333334
Sarcoma	IV	6	7	0.8571428571428571	0.8571428571428571
Stomach	I	1	6	0.16666666666666666	0.16666666666666666
Stomach	II	3	6	0.5	0.5
Stomach	III	4	5	0.8	0.8
Stomach	IV	12	12	1	1
Thyroid	I	0	11	0	0
Thyroid	II	0	1	0	0
Thyroid	III	0	1	0	0
Thyroid	IV	0	1	0	0
Urothelial Tract	I	0	2	0	0
Urothelial Tract	II	0	0	0	0
Urothelial Tract	III	0	0	0	0
Urothelial Tract	IV	8	8	1	1
Uterus	I	20	120	0.16666666666666666	0.16666666666666666
Uterus	II	3	10	0.3	0.3
Uterus	III	17	23	0.7391304347826086	0.7391304347826086
Uterus	IV	4	4	1	1
[OTHER]	NotStaged	0	6	0	0
Lymphoid Leukemia	NotStaged	21	51	0.4117647058823529	0.4117647058823529
Myeloid Neoplasm	NotStaged	2	10	0.2	0.2
Plasma Cell Neoplasm	NotStaged	34	47	0.723404255319149	0.723404255319149
