Cancer	amortized_NumScreenTests	TP	amortized_FP	ScreeningCost	DiagnosticCost	TotalScreeningCost	Total_FP_Diagnostic_Cost	Total_Diagnostic_Cost
Anus	507.48077142839736	3.7913316582914582	2.511653857141989	949	799.78	481599.2520855491	2008.7705218650199	5041.001755533362
Bladder	2335.396948126799	8.763025210084034	11.558484740634007	949	4053.11	2216291.7037723325	46847.8100871111	82365.3151963548
Brain	1260.3260323435343	0	6.237680161717676	949	4970.69	1196049.404694014	31005.57440304843	31005.57440304843
Breast	6849.382682103306	21.238369302998144	33.899369988195886	949	3569.97	6500064.165316038	121019.73387675967	196840.07513738394
CUP	1687.9894397220278	0	8.354297198610146	949	3593.96	1601901.9782962045	30025.00995991692	30025.00995991692
Cervix	290.18460008963115	2.4924459835540986	1.4361987904425717	949	111.67	275385.18548506	160.38031892872198	438.7117619122082
Colon/Rectum	4564.003783213198	35.65316339601179	22.588437535973615	949	799.78	4331239.590269325	18065.780572520976	46580.467593383284
Esophagus	1223.8662487651834	9.488540479220848	6.057231243825922	949	274.37	1161449.070078159	1661.9225363685182	4265.293387652342
Gallbladder	741.0204662410772	4.092208835341365	3.667502331205389	949	3462.88	703228.4224627822	12700.120472684519	26870.948604411427
Head and Neck	4210.6123035214405	35.993159963457344	20.83941151760722	949	719.1	3995871.076041847	14985.620822311354	40868.30215203353
Kidney	3977.07260870876	6.411442651143809	19.683563043543817	949	4053.11	3774241.9056646135	79779.64620741789	105765.92853119536
Liver/Bile-duct	2596.5278305122856	23.573527672658475	12.850889152561438	949	3462.88	2464104.911156159	44501.08702862195	126133.38453571755
Lung	15220.037265991954	118.49443543862321	75.32790887303042	949	3730.99	14443815.365426363	281047.6747261878	723149.2284033366
Lymphoid Leukemia	1741.2010157552972	7.275882352941162	8.617655078776494	949	26.61	1652399.763951777	229.3158016462425	422.92703105800683
Lymphoma	4927.983180414399	26.856153109421925	24.38986590207201	949	3593.96	4676656.038213264	87656.20245741072	184176.14248654875
Melanoma	5466.9967376402865	2.43559781509205	27.057583688201458	949	314.2	5188179.904020632	8501.492794832897	9266.757628334819
Myeloid Neoplasm	1424.887758224199	2.892000000000001	7.052138791121001	949	26.61	1352218.4825547647	187.65741323172983	264.6135332317299
Ovary	1861.419761608238	15.265443158877375	9.212648808041196	949	399.69	1766487.353766218	3682.203602085986	9783.648578257684
Pancreas	3154.2639793054364	26.528588843571193	15.611269896527194	949	4019	2993396.516360859	62741.69371414279	169360.09227645543
Plasma Cell Neoplasm	1756.9674086540435	12.89829787234043	8.695687043270226	949	158.93	1667362.0708126873	1382.005541786937	3431.9320226380014
Prostate	20210.544897080446	22.854937682558766	100.02722448540231	949	4970.69	19179807.107329343	497204.3244773444	610809.1346666624
Sarcoma	1228.7932465460417	7.256458418367348	6.081616232730214	949	3593.96	1166124.7909721935	21857.085475783082	47936.506773058594
Stomach	1802.2957882379392	12.304648876404492	8.920028941189702	949	274.37	1710378.7030378042	2447.388340594219	5823.414852813319
Thyroid	2406.345716171157	0	11.909628580855795	949	0	2283622.084646428	0	0
Urothelial Tract	423.72180915380744	1.2609022556390979	2.097109045769039	949	4053.11	402111.99688696326	8499.81364449695	13610.389185850334
Uterus	3884.4450504286265	12.599929265458186	19.225125252143147	949	399.69	3686338.3528567664	7684.090312029095	12720.156040140077
[OTHER]	4076.597963882096	5.499090909090905	20.176139819410494	949	896.13	3868691.467724109	18080.444176368324	23008.344512731957
