Cancer	amortized_NumScreenTests	TP	amortized_FP	ScreeningCost	DiagnosticCost	TotalScreeningCost	Total_FP_Diagnostic_Cost	Total_Diagnostic_Cost
Anus	0	0	-0	949	799.78	0	-0	0
Bladder	5001.220507251916	8.763025210084034	24.887602536259607	949	4053.11	4746158.2613820685	100872.19071573918	136389.6958249829
Brain	0	0	-0	949	4970.69	0	-0	0
Breast	14667.858994689117	21.238369302998144	72.99175155112499	949	3569.97	13919798.185959972	260578.36328496967	336398.70454559394
CUP	0	0	-0	949	3593.96	0	-0	0
Cervix	0	0	-0	949	111.67	0	-0	0
Colon/Rectum	9773.75145329764	35.65316339601179	48.63717588639585	949	799.78	9275290.1291794609	38899.04053042168	67413.72755128398
Esophagus	2620.8927721548016	9.488540479220848	13.042363860774019	949	274.37	2487227.2407749067	3578.433372480568	6181.804223764392
Gallbladder	0	0	-0	949	3462.88	0	-0	0
Head and Neck	0	0	-0	949	719.1	0	-0	0
Kidney	0	0	-0	949	4053.11	0	-0	0
Liver/Bile-duct	5560.428707429874	23.573527672658475	27.670393537149394	949	3462.88	5276846.84335095	95819.2523719239	177451.54987901947
Lung	32593.500885094294	118.49443543862321	162.19522696854222	949	3730.99	30931232.339954484	605148.7698673613	1047250.3235445101
Lymphoid Leukemia	0	0	-0	949	26.61	0	-0	0
Lymphoma	10553.208336188538	26.856153109421925	52.51599168094273	949	3593.96	10014994.711042922	188740.37346164093	285260.31349077896
Melanoma	0	0	-0	949	314.2	0	-0	0
Myeloid Neoplasm	0	0	-0	949	26.61	0	-0	0
Ovary	3986.204868438342	15.265443158877375	19.836574342191728	949	399.69	3782908.4201479866	7928.480398830612	14029.925375002309
Pancreas	6754.813014225057	26.528588843571193	33.614015071125316	949	4019	6410317.550499579	135094.72657085265	241713.12513316527
Plasma Cell Neoplasm	0	0	-0	949	158.93	0	-0	0
Prostate	0	0	-0	949	4970.69	0	-0	0
Sarcoma	0	0	-0	949	3593.96	0	-0	0
Stomach	0	0	-0	949	274.37	0	-0	0
Thyroid	0	0	-0	949	0	0	-0	0
Urothelial Tract	0	0	-0	949	4053.11	0	-0	0
Uterus	8318.485755100024	12.599929265458186	41.39532877550017	949	399.69	7894242.981589923	16545.29895827966	21581.364686390643
[OTHER]	0	0	-0	949	896.13	0	-0	0
