Cancer	NumScreenTests	TP	FP	ScreeningCost	DiagnosticCost	TotalScreeningCost	Total_FP_Diagnostic_Cost	Total_Diagnostic_Cost
Anus	0	0	0	0	799.78	0	0	0
Bladder	0	0	0	0	4053.11	0	0	0
Brain	0	0	0	0	4970.69	0	0	0
Breast	35320.734585000006	104.36131553586553	3872.0856954891433	542	3569.97	19143838.14507	13823229.770325376	14195796.53594895
CUP	0	0	0	0	3593.96	0	0	0
Cervix	4935.943614000001	3.395157998883	739.8554645212292	84	111.67	414619.26357600006	82619.65972308567	82998.79701682093
Colon/Rectum	21309.381957600002	55.70372398152166	2762.348476099307	500	799.78	10654690.9788	2209271.0642147036	2253821.788580645
Esophagus	0	0	0	0	274.37	0	0	0
Gallbladder	0	0	0	0	3462.88	0	0	0
Head and Neck	0	0	0	0	719.1	0	0	0
Kidney	0	0	0	0	4053.11	0	0	0
Liver/Bile-duct	0	0	0	0	3462.88	0	0	0
Lung	957.5577000000001	6.1745086141200005	121.63648206336	375	3730.99	359084.1375	453824.4982135755	476861.5281077711
Lymphoid Leukemia	0	0	0	0	26.61	0	0	0
Lymphoma	0	0	0	0	3593.96	0	0	0
Melanoma	0	0	0	0	314.2	0	0	0
Myeloid Neoplasm	0	0	0	0	26.61	0	0	0
Ovary	0	0	0	0	399.69	0	0	0
Pancreas	0	0	0	0	4019	0	0	0
Plasma Cell Neoplasm	0	0	0	0	158.93	0	0	0
Prostate	0	0	0	0	4970.69	0	0	0
Sarcoma	0	0	0	0	3593.96	0	0	0
Stomach	0	0	0	0	274.37	0	0	0
Thyroid	0	0	0	0	0	0	0	0
Urothelial Tract	0	0	0	0	4053.11	0	0	0
Uterus	0	0	0	0	399.69	0	0	0
[OTHER]	0	0	0	0	896.13	0	0	0
